experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg,params_dict,lr_C,lr_max_iter,rf_n_estimators,rf_max_depth,mlp_hidden_total,mlp_hidden_layers,mlp_max_iter,complexity_score,baseline_auc,delta_auc,EAUG
109,titanic,948857,0.9330784156305424,666,5,mlp,"{'hidden_layer_sizes': (54, 66), 'max_iter': 169, 'activation': 'relu', 'solver': 'adam'}",0.3255338668823242,0.7880322209436135,7.397563256212369e-06,"{'hidden_layer_sizes': (54, 66), 'max_iter': 169, 'activation': 'relu', 'solver': 'adam'}",,,,,120.0,2.0,169.0,3834.0,0.7561269658718485,0.031905255071765004,4312.941162749967
110,titanic,535434,0.8788483910188998,627,5,mlp,"{'hidden_layer_sizes': (101, 157, 72), 'max_iter': 119, 'activation': 'relu', 'solver': 'adam'}",0.7677783966064453,0.8232679738562091,1.7053123417143924e-05,"{'hidden_layer_sizes': (101, 157, 72), 'max_iter': 119, 'activation': 'relu', 'solver': 'adam'}",,,,,330.0,3.0,119.0,27666.0,0.7561269658718485,0.06714100798436062,3937.1677751925563
111,titanic,553037,0.7063341034140966,504,5,mlp,"{'hidden_layer_sizes': (134, 48), 'max_iter': 171, 'activation': 'relu', 'solver': 'adam'}",0.1977336406707763,0.7502032520325204,4.479662569597637e-06,"{'hidden_layer_sizes': (134, 48), 'max_iter': 171, 'activation': 'relu', 'solver': 'adam'}",,,,,182.0,2.0,171.0,7102.0,0.7561269658718485,0.0,0.0
112,titanic,734893,0.3619236745005747,258,5,mlp,"{'hidden_layer_sizes': (23, 65), 'max_iter': 76, 'activation': 'relu', 'solver': 'adam'}",0.0904765129089355,0.7572964669738864,2.093812634580896e-06,"{'hidden_layer_sizes': (23, 65), 'max_iter': 76, 'activation': 'relu', 'solver': 'adam'}",,,,,88.0,2.0,76.0,1610.0,0.7561269658718485,0.0011695011020379509,558.550981459734
113,titanic,918940,0.6915037924335359,493,5,mlp,"{'hidden_layer_sizes': (142, 106), 'max_iter': 179, 'activation': 'relu', 'solver': 'adam'}",0.5936293601989746,0.7298728813559323,1.3351017522860465e-05,"{'hidden_layer_sizes': (142, 106), 'max_iter': 179, 'activation': 'relu', 'solver': 'adam'}",,,,,248.0,2.0,179.0,15762.0,0.7561269658718485,0.0,0.0
114,titanic,621871,0.2675945750588162,191,5,mlp,"{'hidden_layer_sizes': (131,), 'max_iter': 64, 'activation': 'relu', 'solver': 'adam'}",0.0505082607269287,0.7635869565217391,1.122880198025816e-06,"{'hidden_layer_sizes': (131,), 'max_iter': 64, 'activation': 'relu', 'solver': 'adam'}",,,,,131.0,1.0,64.0,655.0,0.7561269658718485,0.007459990649890669,6643.6211654693
115,titanic,959938,0.8407073408680774,600,5,mlp,"{'hidden_layer_sizes': (109, 188, 148), 'max_iter': 70, 'activation': 'relu', 'solver': 'adam'}",0.4275202751159668,0.7082494969818913,9.584149671948157e-06,"{'hidden_layer_sizes': (109, 188, 148), 'max_iter': 70, 'activation': 'relu', 'solver': 'adam'}",,,,,445.0,3.0,70.0,48861.0,0.7561269658718485,0.0,0.0
116,titanic,996659,0.9568216502538642,683,5,mlp,"{'hidden_layer_sizes': (87, 123, 95), 'max_iter': 168, 'activation': 'relu', 'solver': 'adam'}",0.7261133193969727,0.7872574955908289,1.6278916085516204e-05,"{'hidden_layer_sizes': (87, 123, 95), 'max_iter': 168, 'activation': 'relu', 'solver': 'adam'}",,,,,305.0,3.0,168.0,22821.0,0.7561269658718485,0.03113052971898045,1912.322021653403
117,titanic,50146,0.692932560019297,494,5,mlp,"{'hidden_layer_sizes': (27, 58, 147), 'max_iter': 139, 'activation': 'relu', 'solver': 'adam'}",0.3158307075500488,0.7483050847457627,7.03141921930253e-06,"{'hidden_layer_sizes': (27, 58, 147), 'max_iter': 139, 'activation': 'relu', 'solver': 'adam'}",,,,,232.0,3.0,139.0,10227.0,0.7561269658718485,0.0,0.0
118,titanic,129340,0.6579444112270798,469,5,mlp,"{'hidden_layer_sizes': (42,), 'max_iter': 75, 'activation': 'relu', 'solver': 'adam'}",0.0579352378845214,0.7922932330827067,1.317605257530774e-06,"{'hidden_layer_sizes': (42,), 'max_iter': 75, 'activation': 'relu', 'solver': 'adam'}",,,,,42.0,1.0,75.0,210.0,0.7561269658718485,0.03616626721085825,27448.48428931952
119,titanic,522631,0.8111387120052704,579,5,mlp,"{'hidden_layer_sizes': (100, 99), 'max_iter': 152, 'activation': 'relu', 'solver': 'adam'}",0.3984313011169433,0.7830712303422757,8.69096621811237e-06,"{'hidden_layer_sizes': (100, 99), 'max_iter': 152, 'activation': 'relu', 'solver': 'adam'}",,,,,199.0,2.0,152.0,10400.0,0.7561269658718485,0.026944264470427193,3100.261098043865
120,titanic,599593,0.9449889885520816,674,5,mlp,"{'hidden_layer_sizes': (162, 108, 104), 'max_iter': 85, 'activation': 'relu', 'solver': 'adam'}",0.4237253665924072,0.6854545454545454,9.666890201873848e-06,"{'hidden_layer_sizes': (162, 108, 104), 'max_iter': 85, 'activation': 'relu', 'solver': 'adam'}",,,,,374.0,3.0,85.0,29538.0,0.7561269658718485,0.0,0.0
121,penguins_adelie,117103,0.2701672095286147,92,4,log_reg,"{'C': 0.030125506262009542, 'max_iter': 672, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0157177448272705,0.9886363636363636,1.2439851128275837e-07,"{'C': 0.030125506262009542, 'max_iter': 672, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.030125506262009542,672.0,,,,,,4.0,0.9969723447772593,0.0,0.0
122,penguins_adelie,418608,0.8194571329134746,280,4,log_reg,"{'C': 4.280092354270806, 'max_iter': 638, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0040256977081298,1.0,1.2301012096486132e-07,"{'C': 4.280092354270806, 'max_iter': 638, 'solver': 'lbfgs', 'multi_class': 'auto'}",4.280092354270806,638.0,,,,,,4.0,0.9969723447772593,0.0030276552227407327,24613.057844285864
123,penguins_adelie,333637,0.9186932378892289,314,4,log_reg,"{'C': 4.840894893296339, 'max_iter': 639, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,1.0,1.5324844558332117e-07,"{'C': 4.840894893296339, 'max_iter': 639, 'solver': 'lbfgs', 'multi_class': 'auto'}",4.840894893296339,639.0,,,,,,4.0,0.9969723447772593,0.0030276552227407327,19756.51505773086
124,penguins_adelie,270534,0.4913536142176432,168,4,log_reg,"{'C': 11.22350716841756, 'max_iter': 581, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,1.0,1.305342704218506e-07,"{'C': 11.22350716841756, 'max_iter': 581, 'solver': 'lbfgs', 'multi_class': 'auto'}",11.22350716841756,581.0,,,,,,4.0,0.9969723447772593,0.0030276552227407327,23194.332131755054
125,penguins_adelie,157611,0.3182266980337533,108,4,log_reg,"{'C': 0.18103390555527235, 'max_iter': 388, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,1.0,9.364969544561367e-08,"{'C': 0.18103390555527235, 'max_iter': 388, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.18103390555527235,388.0,,,,,,4.0,0.9969723447772593,0.0030276552227407327,32329.578952010794
126,penguins_adelie,437904,0.5066558582219278,173,4,log_reg,"{'C': 55.52772153998864, 'max_iter': 533, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0030205249786376,1.0,1.1226158290956929e-07,"{'C': 55.52772153998864, 'max_iter': 533, 'solver': 'lbfgs', 'multi_class': 'auto'}",55.52772153998864,533.0,,,,,,4.0,0.9969723447772593,0.0030276552227407327,26969.646643764296
