experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg
197,penguins_adelie,331107,0.8149020715675033,278,4,random_forest,"{'n_estimators': 468, 'max_depth': 18, 'n_jobs': -1}",0.555034875869751,0.9961290322580645,1.2283886828716322e-05
198,penguins_adelie,852015,0.6038331863227985,206,4,random_forest,"{'n_estimators': 252, 'max_depth': 15, 'n_jobs': -1}",0.29327988624572754,1.0,6.431754714499761e-06
199,penguins_adelie,304980,0.8802194390669775,301,4,random_forest,"{'n_estimators': 227, 'max_depth': 19, 'n_jobs': -1}",0.3249795436859131,0.9978213507625272,7.357365481159229e-06
200,penguins_adelie,340590,0.5990535668251882,204,4,random_forest,"{'n_estimators': 302, 'max_depth': 9, 'n_jobs': -1}",0.3387305736541748,1.0,7.5057408657702895e-06
201,penguins_adelie,398552,0.933870138041341,319,4,mlp,"{'hidden_layer_sizes': (111, 108, 30), 'max_iter': 53, 'activation': 'relu', 'solver': 'adam'}",0.10569643974304199,1.0,2.395694503021248e-06
202,penguins_adelie,8546,0.3532824077301599,120,4,mlp,"{'hidden_layer_sizes': (130, 84), 'max_iter': 76, 'activation': 'relu', 'solver': 'adam'}",0.057602643966674805,1.0,1.3758017543218643e-06
203,penguins_adelie,927460,0.5585658626054972,191,4,mlp,"{'hidden_layer_sizes': (59, 14), 'max_iter': 141, 'activation': 'relu', 'solver': 'adam'}",0.08079981803894043,1.0,1.7085062823538912e-06
204,penguins_adelie,566523,0.4224176852806511,144,4,mlp,"{'hidden_layer_sizes': (68, 37), 'max_iter': 140, 'activation': 'relu', 'solver': 'adam'}",0.06453895568847656,1.0,1.6935297276546668e-06
205,penguins_adelie,525826,0.9854447580340284,337,4,mlp,"{'hidden_layer_sizes': (42,), 'max_iter': 156, 'activation': 'relu', 'solver': 'adam'}",0.0827488899230957,0.9973684210526316,2.2154248046652815e-06
206,penguins_adelie,477505,0.8091460505472061,276,4,mlp,"{'hidden_layer_sizes': (163, 128), 'max_iter': 182, 'activation': 'relu', 'solver': 'adam'}",0.4218757152557373,1.0,9.226941931574743e-06
207,penguins_adelie,284730,0.8256041365905418,282,4,mlp,"{'hidden_layer_sizes': (182, 108), 'max_iter': 158, 'activation': 'relu', 'solver': 'adam'}",0.26264142990112305,1.0,5.975683250745119e-06
208,penguins_adelie,507116,0.5520709596218949,188,4,mlp,"{'hidden_layer_sizes': (98, 175, 24), 'max_iter': 67, 'activation': 'relu', 'solver': 'adam'}",0.0891261100769043,0.9971988795518207,1.9776678254537625e-06
209,penguins_adelie,416843,0.9876624651452997,337,4,mlp,"{'hidden_layer_sizes': (134, 115, 193), 'max_iter': 148, 'activation': 'relu', 'solver': 'adam'}",0.35678577423095703,1.0,7.980780885271601e-06
210,penguins_adelie,970354,0.47719428905043904,163,4,mlp,"{'hidden_layer_sizes': (39, 65, 166), 'max_iter': 160, 'activation': 'relu', 'solver': 'adam'}",0.1681051254272461,0.9925925925925926,3.871122298474345e-06
211,penguins_adelie,508179,0.5917597934535248,202,4,mlp,"{'hidden_layer_sizes': (10, 33, 66), 'max_iter': 56, 'activation': 'relu', 'solver': 'adam'}",0.03969073295593262,0.9927536231884058,9.308084678189639e-07
212,penguins_adelie,325260,0.5292608017552479,181,4,mlp,"{'hidden_layer_sizes': (177, 198, 174), 'max_iter': 120, 'activation': 'relu', 'solver': 'adam'}",0.19427895545959473,1.0,4.447911450219097e-06
213,penguins_adelie,221928,0.8416478295885794,287,4,mlp,"{'hidden_layer_sizes': (24, 161, 134), 'max_iter': 62, 'activation': 'relu', 'solver': 'adam'}",0.15034985542297363,0.998798076923077,3.4584403046415464e-06
214,penguins_adelie,822583,0.2295765817609394,78,4,mlp,"{'hidden_layer_sizes': (60, 186), 'max_iter': 117, 'activation': 'relu', 'solver': 'adam'}",0.0696568489074707,1.0,1.7018593312148333e-06
215,penguins_adelie,48698,0.2874258328916464,98,4,mlp,"{'hidden_layer_sizes': (81,), 'max_iter': 193, 'activation': 'relu', 'solver': 'adam'}",0.06839799880981445,1.0,1.495560494290484e-06
216,penguins_adelie,773720,0.8923652384445304,305,4,mlp,"{'hidden_layer_sizes': (138, 155, 146), 'max_iter': 149, 'activation': 'relu', 'solver': 'adam'}",0.3535909652709961,1.0,7.953267268460019e-06
217,penguins_adelie,48963,0.3876281203530389,132,4,mlp,"{'hidden_layer_sizes': (151, 85, 162), 'max_iter': 107, 'activation': 'relu', 'solver': 'adam'}",0.10395646095275879,1.0,2.187355979729902e-06
218,penguins_adelie,858125,0.20360009995172731,69,4,mlp,"{'hidden_layer_sizes': (128,), 'max_iter': 85, 'activation': 'relu', 'solver': 'adam'}",0.029916048049926758,1.0,6.255205850068367e-07
219,penguins_adelie,29607,0.5210844460427104,178,4,mlp,"{'hidden_layer_sizes': (108, 60, 139), 'max_iter': 130, 'activation': 'relu', 'solver': 'adam'}",0.11242794990539551,1.0,2.566502154617548e-06
220,penguins_adelie,237658,0.8822249037055301,301,4,mlp,"{'hidden_layer_sizes': (181, 126, 138), 'max_iter': 88, 'activation': 'relu', 'solver': 'adam'}",0.2639133930206299,1.0,5.996029348709467e-06
221,penguins_adelie,902533,0.6722562007065191,229,4,mlp,"{'hidden_layer_sizes': (76, 158), 'max_iter': 178, 'activation': 'relu', 'solver': 'adam'}",0.16678619384765625,1.0,3.7429374240847033e-06
